"Page","URL_full","og.title","Pageviews","Unique.Pageviews","Avg..Time.on.Page","Entrances","Bounce.Rate","X..Exit","Page.Value","Meta","pub_time"
"1","/","http://americamagazine.org/",NA,"62,436","45,412","0:01:18","42,088","43.84%","42.09%","$0.00","America Magazine",NA
"2","/content/dispatches/pope-francis-says-church-should-apologize-gays","http://americamagazine.org/content/dispatches/pope-francis-says-church-should-apologize-gays",NA,"21,065","20,184","0:06:52","19,595","91.63%","93.43%","$0.00","Pope Francis says the church should apologize to gays for helping to marginalize them","2016-06-26T18:16:12-04:00"
"3","/content/all-things/reflections-pride","http://americamagazine.org/content/all-things/reflections-pride",NA,"16,678","15,544","0:07:20","15,212","81.32%","90.85%","$0.00","Reflections on Pride: a meditation for LGBT Catholics","2016-06-24T10:21:12-04:00"
"4","/issue/care-person","http://americamagazine.org/issue/care-person",NA,"14,505","13,578","0:06:02","12,982","87.00%","89.64%","$0.00","James Martin: What's so great about Jesuit education?","2016-05-25T09:45:49-04:00"
"5","/sections/current-issue","http://americamagazine.org/sections/current-issue",NA,"11,986","7,142","0:00:41","2,709","32.45%","21.56%","$0.00",NA,NA
"6","/content/dispatches/what-difference-word-makes","http://americamagazine.org/content/dispatches/what-difference-word-makes",NA,"11,553","11,149","0:04:34","10,020","86.67%","89.20%","$0.00","A controversy erupts after Pope Francis comments on marriage","2016-06-17T13:08:42-04:00"
"7","/issue/theology-swift","http://americamagazine.org/issue/theology-swift",NA,"10,253","9,782","0:08:59","9,617","89.18%","93.64%","$0.00","A Theology of Taylor Swift","2016-05-25T16:27:16-04:00"
"8","/issue/news/pope-defines-process-removing-bishops-negligence-abuse-cases","http://americamagazine.org/issue/news/pope-defines-process-removing-bishops-negligence-abuse-cases",NA,"8,215","7,872","0:05:41","7,406","89.01%","91.99%","$0.00","Pope issues decree for removing bishops negligent in protecting minors from sex abuse","2016-06-04T07:45:44-04:00"
"9","/content/all-things/gun-control-pro-life-issue","http://americamagazine.org/content/all-things/gun-control-pro-life-issue",NA,"5,743","5,430","0:08:18","5,367","87.86%","93.21%","$0.00","Gun Control is a Pro-Life Issue","2012-12-17T12:39:25-05:00"
"10","/issue/100/ten-reasons-oppose-death-penalty","http://americamagazine.org/issue/100/ten-reasons-oppose-death-penalty",NA,"5,201","4,658","0:07:53","4,647","87.93%","88.93%","$0.00","Ten Reasons To Oppose the Death Penalty","1982-11-20T00:00:00-05:00"
"11","/issue/pope-those-who-say-or-nothing-are-heretics-not-catholics","http://americamagazine.org/issue/pope-those-who-say-or-nothing-are-heretics-not-catholics",NA,"4,799","4,495","0:05:57","4,250","88.07%","89.21%","$0.00","Pope Francis: Those who say “this or nothing” are heretics not Catholics","2016-06-09T09:49:06-04:00"
"12","/issue/new-us-nuncio-calls-church-embrace-discipleship-christ","http://americamagazine.org/issue/new-us-nuncio-calls-church-embrace-discipleship-christ",NA,"4,689","4,345","0:05:34","3,430","83.52%","79.25%","$0.00","EXCLUSIVE | America's interview with Pope Francis' new ambassador to the U.S.","2016-06-06T16:43:02-04:00"
"13","/content/dispatches/shanghais-bishop-ma-surprise-reversal-official-church-group-0","http://americamagazine.org/content/dispatches/shanghais-bishop-ma-surprise-reversal-official-church-group-0",NA,"4,606","4,441","0:03:45","3,651","77.19%","83.65%","$0.00","Shanghai’s Bishop Ma stuns Chinese Catholics with public recantation","2016-06-14T17:20:50-04:00"
"14","/faith","http://americamagazine.org/faith",NA,"3,990","3,310","0:02:00","2,515","73.64%","58.45%","$0.00","Faith",NA
"15","/content/all-things/keeping-pope-francis-comments-lgbt-community-context","http://americamagazine.org/content/all-things/keeping-pope-francis-comments-lgbt-community-context",NA,"3,891","3,508","0:06:01","2,692","69.11%","74.56%","$0.00","James Martin: Keep Pope Francis' comments on L.G.B.T. community in context.","2016-06-27T12:08:27-04:00"
"16","/content/dispatches/after-orlando-chicago-archbishop-urges-lgbt-outreach-gun-control","http://americamagazine.org/content/dispatches/after-orlando-chicago-archbishop-urges-lgbt-outreach-gun-control",NA,"3,665","3,402","0:04:34","2,613","86.36%","78.94%","$0.00","Chicago's Archbishop Blase Cupich urges greater LGBT outreach, gun control in aftermath of Orlando rampage","2016-06-18T12:42:19-04:00"
"17","/issue/truth-then-love","http://americamagazine.org/issue/truth-then-love",NA,"3,338","3,098","0:06:12","2,623","87.71%","82.03%","$0.00","An Eastern priest's vision for Catholic-Orthodox relations","2016-06-09T11:03:42-04:00"
"18","/issue/family-bible-study","http://americamagazine.org/issue/family-bible-study",NA,"3,313","3,132","0:05:31","2,780","87.76%","85.39%","$0.00","Five lessons on parenthood from Scripture","2016-06-09T11:03:42-04:00"
"19","/content/dispatches/will-pan-orthodox-council-be-held-first-time-over-thousand-years","http://americamagazine.org/content/dispatches/will-pan-orthodox-council-be-held-first-time-over-thousand-years",NA,"3,295","3,132","0:06:28","2,792","88.81%","87.31%","$0.00","Last minute objections threaten first Pan-Orthodox council in over 1,000 years","2016-06-09T11:11:39-04:00"
"20","/content/dispatches/church-leaders-react-supreme-tie-dapadaca","http://americamagazine.org/content/dispatches/church-leaders-react-supreme-tie-dapadaca",NA,"3,173","3,027","0:04:52","2,892","90.98%","91.49%","$0.00","Church leaders react to Supreme tie on DAPA/DACA","2016-06-23T14:45:17-04:00"
"21","/content/ignatian-educator/ten-tips-ignatian-summer","http://americamagazine.org/content/ignatian-educator/ten-tips-ignatian-summer",NA,"3,130","2,885","0:07:47","2,874","83.17%","89.46%","$0.00","Ten tips for an Ignatian summer","2014-06-09T19:03:34-04:00"
"22","/content/dispatches/disunited-kingdom-votes-leave-european-union","http://americamagazine.org/content/dispatches/disunited-kingdom-votes-leave-european-union",NA,"3,091","2,921","0:08:02","2,713","85.26%","88.97%","$0.00","A Disunited Kingdom votes to leave the European Union","2016-06-24T10:01:41-04:00"
"23","/news","http://americamagazine.org/news",NA,"3,076","2,562","0:02:42","1,321","70.30%","49.02%","$0.00","News",NA
"24","/issue/dutertes-tough-talk","http://americamagazine.org/issue/dutertes-tough-talk",NA,"3,044","2,913","0:07:40","2,652","89.97%","88.60%","$0.00","Can the Catholic Church work with the Philippines’ new president?","2016-06-23T15:31:57-04:00"
"25","/issue/322/article/when-muslims-and-christians-marry","http://americamagazine.org/issue/322/article/when-muslims-and-christians-marry",NA,"2,926","2,758","0:11:43","2,752","90.75%","93.98%","$0.00","When Muslims and Christians Marry","2001-09-10T00:00:00-04:00"
"26","/issue/top-ten-takeaways-amoris-laetitia","http://americamagazine.org/issue/top-ten-takeaways-amoris-laetitia",NA,"2,838","2,313","0:04:09","2,187","83.55%","75.69%","$0.00","Top 10 takeaways from “Amoris Laetitia”","2016-04-08T06:00:05-04:00"
"27","/content/all-things/bob-dylans-churches","http://americamagazine.org/content/all-things/bob-dylans-churches",NA,"2,794","2,605","0:11:09","2,326","60.43%","84.65%","$0.00","Bob Dylan's Church(es): Travels in the North Country fair","2016-06-24T15:13:57-04:00"
"28","/content/dispatches/no-more-prayers-gun-violence","http://americamagazine.org/content/dispatches/no-more-prayers-gun-violence",NA,"2,787","2,563","0:03:44","1,738","82.91%","71.01%","$0.00","Could we all please stop tweeting “I’ll pray for you” about gun violence?","2016-06-13T11:33:39-04:00"
"29","/sections/archives","http://americamagazine.org/sections/archives",NA,"2,682","1,786","0:00:14","457","12.91%","6.97%","$0.00","Previous Issues",NA
