"","Page","URL","og.title","Pageviews","Unique.Pageviews","Avg..Time.on.Page","Entrances","Bounce.Rate","X..Exit","Page.Value","title"
"1","/","http://americamagazine.org/",NA,"62,436","45,412","0:01:18","42,088","43.84%","42.09%","$0.00","America Magazine"
"2","/content/dispatches/pope-francis-says-church-should-apologize-gays","http://americamagazine.org/content/dispatches/pope-francis-says-church-should-apologize-gays",NA,"21,065","20,184","0:06:52","19,595","91.63%","93.43%","$0.00","Pope Francis says the church should apologize to gays for helping to marginalize them"
"3","/content/all-things/reflections-pride","http://americamagazine.org/content/all-things/reflections-pride",NA,"16,678","15,544","0:07:20","15,212","81.32%","90.85%","$0.00","Reflections on Pride: a meditation for LGBT Catholics"
"4","/issue/care-person","http://americamagazine.org/issue/care-person",NA,"14,505","13,578","0:06:02","12,982","87.00%","89.64%","$0.00","James Martin: What's so great about Jesuit education?"
"5","/sections/current-issue","http://americamagazine.org/sections/current-issue",NA,"11,986","7,142","0:00:41","2,709","32.45%","21.56%","$0.00",NA
"6","/content/dispatches/what-difference-word-makes","http://americamagazine.org/content/dispatches/what-difference-word-makes",NA,"11,553","11,149","0:04:34","10,020","86.67%","89.20%","$0.00","A controversy erupts after Pope Francis comments on marriage"
"7","/issue/theology-swift","http://americamagazine.org/issue/theology-swift",NA,"10,253","9,782","0:08:59","9,617","89.18%","93.64%","$0.00","A Theology of Taylor Swift"
"8","/issue/news/pope-defines-process-removing-bishops-negligence-abuse-cases","http://americamagazine.org/issue/news/pope-defines-process-removing-bishops-negligence-abuse-cases",NA,"8,215","7,872","0:05:41","7,406","89.01%","91.99%","$0.00","Pope issues decree for removing bishops negligent in protecting minors from sex abuse"
"9","/content/all-things/gun-control-pro-life-issue","http://americamagazine.org/content/all-things/gun-control-pro-life-issue",NA,"5,743","5,430","0:08:18","5,367","87.86%","93.21%","$0.00","Gun Control is a Pro-Life Issue"
"10","/issue/100/ten-reasons-oppose-death-penalty","http://americamagazine.org/issue/100/ten-reasons-oppose-death-penalty",NA,"5,201","4,658","0:07:53","4,647","87.93%","88.93%","$0.00","Ten Reasons To Oppose the Death Penalty"
"11","/issue/pope-those-who-say-or-nothing-are-heretics-not-catholics","http://americamagazine.org/issue/pope-those-who-say-or-nothing-are-heretics-not-catholics",NA,"4,799","4,495","0:05:57","4,250","88.07%","89.21%","$0.00","Pope Francis: Those who say “this or nothing” are heretics not Catholics"
"12","/issue/new-us-nuncio-calls-church-embrace-discipleship-christ","http://americamagazine.org/issue/new-us-nuncio-calls-church-embrace-discipleship-christ",NA,"4,689","4,345","0:05:34","3,430","83.52%","79.25%","$0.00","EXCLUSIVE | America's interview with Pope Francis' new ambassador to the U.S."
"13","/content/dispatches/shanghais-bishop-ma-surprise-reversal-official-church-group-0","http://americamagazine.org/content/dispatches/shanghais-bishop-ma-surprise-reversal-official-church-group-0",NA,"4,606","4,441","0:03:45","3,651","77.19%","83.65%","$0.00","Shanghai’s Bishop Ma stuns Chinese Catholics with public recantation"
"14","/faith","http://americamagazine.org/faith",NA,"3,990","3,310","0:02:00","2,515","73.64%","58.45%","$0.00","Faith"
"15","/content/all-things/keeping-pope-francis-comments-lgbt-community-context","http://americamagazine.org/content/all-things/keeping-pope-francis-comments-lgbt-community-context",NA,"3,891","3,508","0:06:01","2,692","69.11%","74.56%","$0.00","James Martin: Keep Pope Francis' comments on L.G.B.T. community in context."
"16","/content/dispatches/after-orlando-chicago-archbishop-urges-lgbt-outreach-gun-control","http://americamagazine.org/content/dispatches/after-orlando-chicago-archbishop-urges-lgbt-outreach-gun-control",NA,"3,665","3,402","0:04:34","2,613","86.36%","78.94%","$0.00","Chicago's Archbishop Blase Cupich urges greater LGBT outreach, gun control in aftermath of Orlando rampage"
"17","/issue/truth-then-love","http://americamagazine.org/issue/truth-then-love",NA,"3,338","3,098","0:06:12","2,623","87.71%","82.03%","$0.00","An Eastern priest's vision for Catholic-Orthodox relations"
"18","/issue/family-bible-study","http://americamagazine.org/issue/family-bible-study",NA,"3,313","3,132","0:05:31","2,780","87.76%","85.39%","$0.00","Five lessons on parenthood from Scripture"
"19","/content/dispatches/will-pan-orthodox-council-be-held-first-time-over-thousand-years","http://americamagazine.org/content/dispatches/will-pan-orthodox-council-be-held-first-time-over-thousand-years",NA,"3,295","3,132","0:06:28","2,792","88.81%","87.31%","$0.00","Last minute objections threaten first Pan-Orthodox council in over 1,000 years"
